UniqueID,County,Location,PatronName,Patron,TroupeName,PerformerType,VenueName,VenueType,EventType,FromDate,FromDate,ToDate,Auspices,PerformanceSpace,County Population,LatLong,,,,,,
9,Somerset,Bath,Henry Stanley (1531-1593),Henry Stanley,Earl of Derby's Players,Players,Guildhall,Guildhall,Performance,6/13/1580,1580-06-13,1581-6-15,Civic,Hall,154845,"51.375801,-2.359904",,,,,,
10,Somerset,Bath,Henry Stanley (1531-1593),Henry Stanley,Earl of Derby's Players,Players,Guildhall,Guildhall,Performance,6/11/1582,1582-06-11,1583-6-15,Civic,Hall,154845,"51.375801,-2.359904",,,,,,
11,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Musicians,Musicians,St Mary's Guildhall,Guildhall,Performance,11/1/1588,1588-11-01,1589-10-31,Civic,Hall,50960,"52.406822,-1.519693",,,,,,
12,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Musicians,Musicians,St Mary's Guildhall,Guildhall,Performance,11/1/1580,1580-11-01,1581-10-31,Civic,Hall,50960,"52.406822,-1.519693",,,,,,
13,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Musicians,Musician,St Mary's Guildhall,Guildhall,Performance,11/1/1587,1587-11-01,1588-10-31,Civic,Hall,50960,"52.406822,-1.519693",,,,,,
14,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Musicians,Musicians,St Mary's Guildhall,Guildhall,Performance,11/1/1589,1589-11-01,1590-10-31,Civic,Hall,50960,"52.406822,-1.519693",,,,,,
15,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Musicians,Musicians,St Mary's Guildhall,Guildhall,Performance,11/1/1584,1584-11-01,1585-10-31,Civic,Hall,50960,"52.406822,-1.519693",,,,,,
16,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Musicians,Musicians,St Mary's Guildhall,Guildhall,Performance,11/1/1583,1583-11-01,1584-10-31,Civic,Hall,50960,"52.406822,-1.519693",,,,,,
17,Cheshire,Chester,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Dean's House,Private Residence,Performance,5/14/1583,1583-05-14,1583-5-14,Ecclesiastic,,68840,"53.193392,-2.893075",,,,,,
18,Devon,Exeter,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,9/29/1581,1581-09-29,1582-9-28,Civic,Hall,239662,"50.718412,-3.533899",,,,,,
19,Dorset,Lyme Regis,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Town Hall,Town Hall,Performance,9/29/1588,1588-09-29,1589-9-28,,,66022,"50.725156,-2.936639",,,,,,
20,Gloucestershire,Gloucester,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Boothall,Town Hall,Performance,9/29/1584,1584-09-29,1585-9-28,Civic,,106828,"51.864245,-2.238156",,,,,,
21,Gloucestershire,Gloucester,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Boothall,Town Hall,Performance,9/29/1586,1586-09-29,1587-9-28,Civic,,106828,"51.864245,-2.238156",,,,,,
22,Gloucestershire,Gloucester,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Boothall,Town Hall,Performance,9/29/1585,1585-09-29,1586-9-28,Civic,,106828,"51.864245,-2.238156",,,,,,
23,Gloucestershire,Gloucester,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Boothall,Town Hall,Performance,10/5/1583,1583-10-05,1583-10-5,Civic,,106828,"51.864245,-2.238156",,,,,,
24,Gloucestershire,Bristol,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,9/20/1584,1584-09-20,1584-9-26,Civic,Hall,106828,"51.454513,-2.58791",,,,,,
25,Gloucestershire,Bristol,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,3/26/1586,1586-03-26,1586-4-2,Civic,Hall,106828,"51.454513,-2.58791",,,,,,
