source,target,value
ART215,Anthropology,1
ART215,Art & Art History,1
ART215,Art History,1
ART215,Biology,13
ART215,Economics,2
ART215,English - Creative Writing,1
ART215,Environmental Studies,1
ART215,History,1
ART215,Political Science,1
BIOL319,Biology,13
BIOL319,English - Creative Writing,1
BIOL319,Environmental Studies,1
BIOL319,History,1
BIOL319,Political Science,1
CAPS407,Economics,4
CAPS407,English,1
CAPS407,International Relations,1
CAPS407,Mathematics,2
CAPS407,Mechanical Engineering,1
CAPS411,Accounting,1
CAPS411,Art & Art History,1
CAPS411,Art History,2
CAPS411,Biology,5
CAPS411,Cell Biology/Biochemistry,1
CAPS411,College Major,1
CAPS411,Computer Science,1
CAPS411,East Asian Studies,1
CAPS411,Economics,2
CAPS411,English,2
CAPS411,English - Creative Writing,1
CAPS411,Environmental Studies,3
CAPS411,Geography,2
CAPS411,History,2
CAPS411,International Relations,4
CAPS411,Psychology,1
CAPS411,Sociology,1
CAPS414,Accounting,1
CAPS414,Animal Behavior,1
CAPS414,Biology,1
CAPS414,International Relations,8
CAPS414,Management,2
ENGL217,Biology,10
ENGL217,Economics,1
ENGL217,English - Creative Writing,1
ENST230,Art History,1
ENST230,Biology,1
ENST230,Civil Engineering,2
ENST230,Computer Science,1
ENST230,Economics,1
ENST230,Elementary Education,1
ENST230,English,2
ENST230,Environmental Geology,1
ENST230,Environmental Studies,6
ENST230,Undeclared,1
ENST319,Environmental Studies,4
GEOG101,Anthropology,1
GEOG101,Chemical Engineering,2
GEOG101,Civil Engineering,2
GEOG101,Economics,1
GEOG101,Electrical Engineering,1
GEOG101,Elementary Education,1
GEOG101,Management,1
GEOG101,Mathematics,1
GEOG101,Mechanical Engineering,2
GEOG101,Physics,2
GEOG101,Undeclared,20
GEOG204,Animal Behavior,1
GEOG204,Biology,1
GEOG204,Civil Engineering,9
GEOG204,Environmental Geology,1
GEOG204,Environmental Studies,2
GEOG204,Geography,1
GEOG204,International Relations,1
GEOG204,Political Science,1
GEOG209,Chemical Engineering,1
GEOG209,Civil Engineering,1
GEOG209,Early Childhood Education,1
GEOG209,Economics,6
GEOG209,Elementary Education,1
GEOG209,Environmental Geology,1
GEOG209,Environmental Studies,1
GEOG209,Geography,2
GEOG209,History,1
GEOG209,International Relations,4
GEOG209,Management,1
GEOG209,Political Science,1
GEOG209,Sociology,2
GEOG209,Undeclared,12
GEOG210,Computer Science,1
GEOG210,Elementary Education,4
GEOG210,Environmental Studies,2
GEOG210,Geography,3
GEOG210,Political Science,1
GEOG210,Sociology,1
GEOG210,Undeclared,3
GEOG211,Biology,2
GEOG211,Cell Biology/Biochemistry,2
GEOG211,East Asian Studies,3
GEOG211,Economics,4
GEOG211,English - Creative Writing,1
GEOG211,Environmental Studies,1
GEOG211,Geography,1
GEOG211,Geology,1
GEOG211,History,1
GEOG211,International Relations,25
GEOG211,Physics,1
GEOG211,Political Science,3
GEOG211,Psychology,3
GEOG211,Sociology,3
GEOG211,Spanish,1
GEOG214,Anthropology,1
GEOG214,Biomedical Engineering,4
GEOG214,Chemistry,1
GEOG214,Civil Engineering,4
GEOG214,Economics,3
GEOG214,Electrical Engineering,1
GEOG214,Environmental Studies,1
GEOG214,Geography,1
GEOG214,History,2
GEOG214,International Relations,11
GEOG214,Management,3
GEOG214,Political Science,2
GEOG214,Psychology,1
GEOG214,Undeclared,3
GEOG220,Civil Engineering,1
GEOG220,Education,1
GEOG220,Elementary Education,1
GEOG220,English,1
GEOG220,Geography,3
GEOG220,History,1
GEOG220,International Relations,2
GEOG220,Management,2
GEOG220,Mathematics,1
GEOG220,Mechanical Engineering,1
GEOG220,Political Science,1
GEOG220,Psychology,2
GEOG220,Sociology,1
GEOG220,Undeclared,9
GEOG223,Anthropology,1
GEOG223,Biology,2
GEOG223,Biomedical Engineering,1
GEOG223,Civil Engineering,2
GEOG223,Computer Science,1
GEOG223,Music Performance,1
GEOG223,Physics,1
GEOG223,Political Science,1
GEOG223,Psychology,1
GEOG223,Theatre,1
GEOG223,Undeclared,5
GEOG226,Economics,1
GEOG226,English - Creative Writing,1
GEOG226,International Relations,1
GEOG226,Psychology,1
GEOG226,Studio Art,1
GEOG226,Women's and Gender Studies,1
GEOG229,Art History,1
GEOG229,Economics,1
GEOG229,Mechanical Engineering,1
GEOG229,Undeclared,3
GEOG231,Accounting,4
GEOG231,Anthropology,1
GEOG231,Art History,1
GEOG231,Civil Engineering,2
GEOG231,Classics,1
GEOG231,Computer Science,1
GEOG231,East Asian Studies,1
GEOG231,Economics,7
GEOG231,Education,1
GEOG231,English,1
GEOG231,English - Creative Writing,3
GEOG231,Environmental Studies,10
GEOG231,Geography,1
GEOG231,History,1
GEOG231,International Relations,3
GEOG231,Management,2
GEOG231,Music,1
GEOG231,Philosophy,1
GEOG231,Political Science,4
GEOG231,Sociology,1
GEOG231L,Accounting,4
GEOG231L,Anthropology,1
GEOG231L,Art History,1
GEOG231L,Civil Engineering,2
GEOG231L,Classics,1
GEOG231L,Computer Science,1
GEOG231L,East Asian Studies,1
GEOG231L,Economics,7
GEOG231L,Education,1
GEOG231L,English,1
GEOG231L,English - Creative Writing,3
GEOG231L,Environmental Studies,10
GEOG231L,Geography,1
GEOG231L,History,1
GEOG231L,International Relations,3
GEOG231L,Management,1
GEOG231L,Music,1
GEOG231L,Philosophy,1
GEOG231L,Political Science,4
GEOG231L,Sociology,1
GEOG236,Biology,2
GEOG236,Chemical Engineering,1
GEOG236,Chemistry,3
GEOG236,Civil Engineering,1
GEOG236,Comparative Humanities,1
GEOG236,Electrical Engineering,1
GEOG236,Environmental Studies,1
GEOG236,Geography,1
GEOG236,International Relations,4
GEOG236,Mathematics,1
GEOG236,Mechanical Engineering,5
GEOG236,Psychology,3
GEOG236,Undeclared,1
GEOG237,Anthropology,2
GEOG237,Biology,2
GEOG237,Cell Biology/Biochemistry,1
GEOG237,Chemistry,1
GEOG237,English - Creative Writing,1
GEOG237,Environmental Studies,1
GEOG237,Geography,1
GEOG237,International Relations,1
GEOG237,Political Science,1
GEOG237,Psychology,4
GEOG237,Undeclared,4
GEOG257,Art & Art History,1
GEOG257,Biology,11
GEOG257,English - Creative Writing,1
GEOG257,Environmental Studies,1
GEOG257,Political Science,1
GEOG2NT,Cell Biology/Biochemistry,1
GEOG2NT,Environmental Studies,2
GEOG2NT,International Relations,1
GEOG2NT,Mechanical Engineering,3
GEOG2NT,Psychology,1
GEOG2NT,Spanish,2
GEOG2NT,Undeclared,2
GEOG320,Biology,1
GEOG320,English - Creative Writing,1
GEOG320,Geography,1
GEOG320,Psychology,1
GEOG320,Undeclared,3
LAMS2NT,Undeclared,1
LAMS319,Political Science,1
SOCI210,English,1
SOCI210,Management,1
SOCI210,Psychology,2
SOCI210,Sociology,5
SOCI210,Undeclared,1
THEA264,Anthropology,1
THEA264,Art & Art History,1
THEA264,Art History,1
THEA264,Biology,3
THEA264,Economics,1
THEA264,Environmental Studies,1
THEA264,History,1
THEA264,Political Science,1
UNIV229,Elementary Education,1
UNIV229,History,1
UNIV229,Religion,2
UNIV229,Spanish,1
UNIV229,Undeclared,1
UNIV279,Anthropology,1
UNIV279,Art & Art History,1
UNIV279,Art History,1
UNIV279,Economics,2
